combinaton	score	biomarker	cor(score,biomarker)	p
M4076-berzosertib	aoc	AADAT_cnv	0.05693517525184931	0.5659166899757816
M4076-berzosertib	aoc	AADAT_exp	-0.04729685326130184	0.633524122192073
M4076-berzosertib	aoc	AADAT_lof	-0.03533086304263339	0.7217941428979617
M4076-berzosertib	aoc	AARS2_cnv	0.016896393987785543	0.8648216732862116
M4076-berzosertib	aoc	AARS2_exp	0.09665494343472983	0.329032134114728
M4076-berzosertib	aoc	AARS2_lof	0.0068439570495713135	0.9450276812242467
M4076-berzosertib	aoc	AARS2_snv		
M4076-berzosertib	aoc	ABCB1_cnv	-0.13081052940577148	0.18564162824661984
M4076-berzosertib	aoc	ABCB1_exp	-0.06457860271772689	0.5148555800055746
M4076-berzosertib	aoc	ABCB1_lof	0.011041763099839383	0.9114206810450216
M4076-berzosertib	aoc	ABCB1_snv	0.011041763099839383	0.9114206810450216
M4076-berzosertib	aoc	ABCB11_cnv	-0.15848610374603378	0.10807924845352863
M4076-berzosertib	aoc	ABCB11_exp	-0.057646414196913714	0.5610660329330193
M4076-berzosertib	aoc	ABCB11_lof	0.18491642302081066	0.060212571657860196
M4076-berzosertib	aoc	ABCB11_snv	0.18491642302081066	0.060212571657860196
M4076-berzosertib	aoc	ABCF1_cnv	0.037977744068724575	0.7019009293580394
M4076-berzosertib	aoc	ABCF1_exp	0.15138041685545472	0.12503467139465294
M4076-berzosertib	aoc	ABCF1_lof	0.051973839743951214	0.6002927798383845
M4076-berzosertib	aoc	ABCF1_snv	0.12243431721967793	0.21565548224363712
M4076-berzosertib	aoc	ABCG2_cnv	-0.040045860488147074	0.6864956051014309
M4076-berzosertib	aoc	ABCG2_exp	-0.08777921400193482	0.3755806005564738
M4076-berzosertib	aoc	ABCG2_lof	0.062408249134499404	0.5291110994295922
M4076-berzosertib	aoc	ABCG2_snv	0.041420386302163145	0.6763268676785515
M4076-berzosertib	aoc	ABI1_cnv	0.027626982041282583	0.7807137659128293
M4076-berzosertib	aoc	ABI1_exp	0.0107891105293259	0.9134395676704061
M4076-berzosertib	aoc	ABI1_lof	-0.034482497396080884	0.7282104129281951
M4076-berzosertib	aoc	ABI1_snv		
M4076-berzosertib	aoc	ABL1_cnv	0.041884543770055134	0.6729060136897932
M4076-berzosertib	aoc	ABL1_exp	0.13748742983844306	0.16399052900443256
M4076-berzosertib	aoc	ABL1_lof	-0.023902085736740436	0.8096770065571219
M4076-berzosertib	aoc	ABL1_snv	-0.04124595816853858	0.6776141161021629
M4076-berzosertib	aoc	ABL2_cnv	0.006001666564514153	0.9517844728810683
M4076-berzosertib	aoc	ABL2_exp	0.1516421670902106	0.12437583684541471
M4076-berzosertib	aoc	ABL2_lof	0.09943831439015904	0.3152286229535971
M4076-berzosertib	aoc	ABL2_snv	0.18491642302081066	0.060212571657860196
M4076-berzosertib	aoc	ACAD10_cnv	-0.11620384650399075	0.24010953625526915
M4076-berzosertib	aoc	ACAD10_exp	-0.05058478626950964	0.6100812886751981
M4076-berzosertib	aoc	ACAD10_lof	0.02916505578375931	0.7688387951544666
M4076-berzosertib	aoc	ACAD10_snv		
M4076-berzosertib	aoc	ACD_cnv	-0.00513339383880906	0.9587532633362588
M4076-berzosertib	aoc	ACD_exp	0.1561339477975105	0.11348099511430293
M4076-berzosertib	aoc	ACD_lof	0.08630503086760952	0.3836824064024197
M4076-berzosertib	aoc	ACER3_cnv	-0.033778969747623046	0.7335455516250573
M4076-berzosertib	aoc	ACER3_exp	0.13861401197776177	0.1605302816514907
M4076-berzosertib	aoc	ACER3_lof	-0.027654877059153257	0.7804979390421096
M4076-berzosertib	aoc	ACO1_cnv	-0.0376237898916181	0.704549870137826
M4076-berzosertib	aoc	ACO1_exp	0.0525136791751287	0.596507565223164
M4076-berzosertib	aoc	ACO1_lof	0.06814147958804767	0.49188731782170036
M4076-berzosertib	aoc	ACO1_snv	0.029567574551811842	0.7657397553800744
M4076-berzosertib	aoc	ACOT11_cnv	0.007290010512116175	0.9414510203461437
M4076-berzosertib	aoc	ACOT11_exp	-0.03324570817833557	0.7375979724293206
M4076-berzosertib	aoc	ACOT11_lof	0.014066536263243196	0.8872977780467333
M4076-berzosertib	aoc	ACOT11_snv		
M4076-berzosertib	aoc	ACSL6_cnv	-0.13161831226783713	0.18291674414409734
M4076-berzosertib	aoc	ACSL6_exp	-0.23170726030692346	0.01794723739075285
M4076-berzosertib	aoc	ACSL6_lof	0.0999217743213344	0.3128697898130229
M4076-berzosertib	aoc	ACSL6_snv	0.060391888238635553	0.5425301197940483
M4076-berzosertib	aoc	ACTB_cnv	-0.0333615426236627	0.7367170948243466
M4076-berzosertib	aoc	ACTB_exp	0.26758663994157894	0.006030031394726407
M4076-berzosertib	aoc	ACTB_lof	-0.030631688286071837	0.757564907038179
M4076-berzosertib	aoc	ACTB_snv	-0.030631688286071837	0.757564907038179
M4076-berzosertib	aoc	ACTL6A_cnv	0.0068311826245483955	0.9451301288363597
M4076-berzosertib	aoc	ACTL6A_exp	0.16185606448825196	0.10069209843680815
M4076-berzosertib	aoc	ACTL6A_lof	-0.0016013736940814864	0.9871278869369219
M4076-berzosertib	aoc	ACTL6A_snv		
M4076-berzosertib	aoc	ACTL6B_cnv	-0.11332196296642133	0.252048385880344
M4076-berzosertib	aoc	ACTL6B_exp	0.010781293540811275	0.9135020402119689
M4076-berzosertib	aoc	ACTL6B_lof		
M4076-berzosertib	aoc	ACTL6B_snv		
M4076-berzosertib	aoc	ACTR2_cnv	-0.08393428443460631	0.39693052688466257
M4076-berzosertib	aoc	ACTR2_exp	0.2203574455913549	0.02459155765268741
M4076-berzosertib	aoc	ACTR2_lof		
M4076-berzosertib	aoc	ACTR3_cnv	-0.10829040347010901	0.2738568246867102
M4076-berzosertib	aoc	ACTR3_exp	0.2634294262924542	0.00689458567686891
M4076-berzosertib	aoc	ACTR3_lof		
M4076-berzosertib	aoc	ACTR5_cnv	-0.20066173376882088	0.04110721959878342
M4076-berzosertib	aoc	ACTR5_exp	-0.0542159922510167	0.5846421257113208
M4076-berzosertib	aoc	ACTR5_lof	-0.0961847318198463	0.33140158468433384
M4076-berzosertib	aoc	ACTR5_snv	-0.164878829566149	0.09440873647548756
M4076-berzosertib	aoc	ACTR8_cnv	0.09557316315634769	0.3344995687055397
M4076-berzosertib	aoc	ACTR8_exp	0.17658918387259032	0.07293803749836549
M4076-berzosertib	aoc	ACTR8_lof	-0.08074672680203537	0.4151653410566128
M4076-berzosertib	aoc	ACTR8_snv		
