	combination_treatment	H	p
399	gamma-peposertib	27.87589195677704	0.0033820666743858796
131	M1774-palbociclib	22.259402639997866	0.013836289118168399
38	GSK2334470-berzosertib	20.700000000000003	0.02328538084342171
60	IBET151-berzosertib	19.304273504273525	0.03656387318820198
25	BMXIN1-M3541	19.215099715099726	0.037614130708675336
180	M3541-gamma	20.543197123728532	0.038424529539852814
4	ABT737-gartisertib	18.90085470085471	0.04154019964989666
259	M4076-palbociclib	18.58084179970973	0.04592117494078138
459	peposertib-topotecan	19.906677500059743	0.0466370545049248
237	M4076-duvelisib	18.35555555555557	0.049254028349769385
193	M3541-oxaliplatin	18.276455026455025	0.05047548715489537
350	berzosertib-ruxolitinib	17.573504273504284	0.06259854193175796
273	M4076-topotecan	17.551282051282058	0.06302134329029678
9	AZD4547-berzosertib	17.517948717948727	0.06366035729292958
308	azacytidine-gartisertib	17.379659712722315	0.06637398484575806
326	berzosertib-everolimus	17.22307692307693	0.06957130662367911
394	everolimus-peposertib	17.213675213675216	0.0697675936500323
353	berzosertib-sunitinib	17.08461538461539	0.07251250009161907
304	THZ1-berzosertib	17.02649572649574	0.07377974906457352
49	GSK525762A-berzosertib	17.025641025641036	0.07379853127230483
324	berzosertib-erlotinib	16.83760683760684	0.07803545077257519
233	M4076-cytarabine	16.808547008547023	0.07870915559312763
257	M4076-oxaliplatin	16.770085470085476	0.07960874684847845
352	berzosertib-sorafenib	16.752991452991466	0.08001147953625172
339	berzosertib-nutlin	16.57179487179488	0.08439251904055604
283	NSC348884-berzosertib	16.44529914529916	0.08757510088076154
280	ML167-berzosertib	16.434037277701783	0.08786349932496242
221	M4076-SN38	16.303418803418808	0.09126989076366608
173	M3541-doxorubicin	17.478691443144836	0.09449192290831941
342	berzosertib-paclitaxel	16.16581196581197	0.09498320506831191
385	doxorubicin-peposertib	17.45520443144397	0.0951133404723133
336	berzosertib-melphalan	16.047863247863262	0.09827043316001412
307	azacytidine-berzosertib	15.919658119658138	0.10195549188387608
29	BMXIN1-peposertib	15.896011396011417	0.10264813907651267
255	M4076-nutlin	15.88119658119659	0.10308416431983966
220	M4076-SGX523	15.77028414926397	0.10639981943491778
229	M4076-carfilzomib	15.75555555555556	0.1068469891172919
344	berzosertib-pictilisib	15.705982905982921	0.10836400309224441
15	BI2536-berzosertib	15.700000000000003	0.1085483429700263
303	SN38-peposertib	15.658730158730151	0.10982729998386426
27	BMXIN1-berzosertib	15.640176128590983	0.1104065131162033
222	M4076-THZ1	15.593162393162402	0.11188596985123983
196	M3541-peposertib	15.546770682148008	0.1133625474339226
323	berzosertib-entospletinib	15.486324786324786	0.11531155379339038
21	BML284-berzosertib	15.479487179487194	0.11553382465392198
184	M3541-gilteritinib	15.366096866096882	0.11927372103032981
73	LY2584702-gartisertib	15.35128205128207	0.11976991875059666
286	OSI027-berzosertib	15.303418803418808	0.12138509194523259
256	M4076-olaparib	15.235897435897442	0.12369522179668206
78	LY2603618-berzosertib	15.111965811965831	0.12803279409843699
70	LY2584702-M3541	15.103988603988611	0.12831636355781328
54	GSK923295-berzosertib	15.090598290598308	0.1287935525447668
465	peposertib-vincristine	15.082621082621102	0.1290785498068834
167	M3541-carfilzomib	15.07834757834759	0.1292314466537691
39	GSK2334470-gartisertib	15.063247863247867	0.12977291180013
331	berzosertib-gilteritinib	15.056410256410274	0.13001873494848049
227	M4076-cabozantinib	15.017094017094024	0.13143988099388457
84	LY2857785-berzosertib	14.975213675213695	0.13296813758321432
272	M4076-thiotepa	14.966666666666683	0.13328186387254257
213	M3541-vincristine	14.935897435897445	0.13441645695060894
72	LY2584702-berzosertib	14.676068376068386	0.14432567478577066
31	CPI0610-M4076	14.658119658119674	0.1450322033270393
320	berzosertib-dinaciclib	14.646153846153865	0.14550482520653782
290	PF04217903-gartisertib	14.573504273504284	0.14840197805590885
148	M1774-ulixertinib	14.534860050890583	0.14996251817931117
281	ML167-gartisertib	14.500854700854717	0.15134698998349055
327	berzosertib-fluorouracil	14.384615384615401	0.15615978107954911
10	AZD4547-gartisertib	14.209401709401718	0.16365264069560792
161	M3541-THZ1	14.19943019943021	0.16408779526677236
240	M4076-etoposide	14.140170940170947	0.16669346037448243
226	M4076-bortezomib	14.140170940170947	0.16669346037448243
325	berzosertib-etoposide	14.135897435897448	0.16688267030454584
335	berzosertib-lomustine	14.124786324786342	0.16737543803120541
314	berzosertib-carfilzomib	14.090598290598308	0.1688991080808841
313	berzosertib-carboplatin	14.029059829059833	0.17167022138911406
321	berzosertib-doxorubicin	13.952136752136752	0.17518601584623958
386	duvelisib-gartisertib	13.948717948717956	0.17534361945320837
163	M3541-berzosertib	13.897435897435912	0.1777214915496124
177	M3541-everolimus	13.890769230769251	0.17803252242660333
32	CPI0610-berzosertib	13.786324786324798	0.1829629939746458
357	berzosertib-topotecan	12.549230769230775	0.18408599438236453
311	berzosertib-bortezomib	13.729914529914538	0.18567129393440046
20	BML284-M4076	13.645299145299148	0.1897939297073625
337	berzosertib-mitomycin	13.619658119658126	0.1910575558574294
340	berzosertib-olaparib	13.550427350427356	0.19450287303643007
97	M1774-THZ1	13.549147856817166	0.1945670099207463
306	THZ1-peposertib	13.541310541310551	0.1949602360938406
156	M3541-PF04217903	12.305000000000007	0.19665585549350603
53	GSK923295-M4076	13.486324786324786	0.19773684076692907
99	M1774-bleomycin	13.470899470899468	0.1985213719032339
458	peposertib-thiotepa	13.457264957264982	0.1992168720236058
446	oxaliplatin-peposertib	13.391534391534393	0.20259686462568946
187	M3541-lapatinib	13.273846153846165	0.20876125987836602
19	BML284-M3541	13.269230769230774	0.20900597105454963
365	bleomycin-peposertib	14.42059048546389	0.21058762528334649
358	berzosertib-tozasertib	13.19145299145299	0.21316362287602605
140	M1774-seliciclib	13.150793650793645	0.2153625850034418
217	M4076-PF04217903	13.145454545454543	0.21565264215894567
188	M3541-lomustine	13.13817663817666	0.2160485168988908
277	M4076-veliparib	13.129059829059841	0.21654521243132657
130	M1774-paclitaxel	13.093915343915342	0.21846821919982018
318	berzosertib-cytarabine	13.086324786324795	0.21888528400138577
295	RO3306-berzosertib	13.009401709401729	0.22314663197142764
348	berzosertib-ralimetinib	12.974358974358978	0.22510897146902972
275	M4076-ulixertinib	12.95811965811967	0.22602283136663984
260	M4076-pictilisib	12.897435897435912	0.2294629730478547
432	gartisertib-veliparib	12.876923076923092	0.2306348453509366
438	ibrutinib-peposertib	12.867521367521377	0.23117347740694233
185	M3541-ibrutinib	12.858974358974365	0.2316639747995091
2	ABT737-M4076	12.834302325581412	0.23308430646611972
266	M4076-ruxolitinib	12.765811965811977	0.23706189340023245
262	M4076-prexasertib	12.752991452991466	0.23781212710829458
201	M3541-ruxolitinib	12.749287749287774	0.23802919532425193
22	BML284-gartisertib	12.73846153846155	0.2386645614059284
317	berzosertib-crizotinib	12.717094017094027	0.23992233222987028
151	M1774-vemurafenib	12.712699867603627	0.24018160696472474
200	M3541-ralimetinib	12.678062678062687	0.24223275784039833
424	gartisertib-sunitinib	12.646153846153865	0.24413397649549176
334	berzosertib-lapatinib	12.631623931623935	0.24500341246857021
218	M4076-PLX647	12.61623931623933	0.24592651952674632
248	M4076-ibrutinib	12.582051282051296	0.24798718634946357
278	M4076-vemurafenib	12.551282051282058	0.24985278808873537
103	M1774-carfilzomib	12.534391534391531	0.25088133105851246
263	M4076-purvalanol	12.52372606019152	0.2515324228258823
172	M3541-dinaciclib	12.514245014245034	0.2521122631635554
160	M3541-SN38	12.504273504273513	0.25272316996449135
419	gartisertib-ralimetinib	12.50341880341881	0.25277558449629967
33	CPI0610-gartisertib	12.499145299145312	0.2530377781852951
207	M3541-topotecan	13.625935604594076	0.2543871524042844
132	M1774-peposertib	12.456349206349202	0.2556745919938809
364	bleomycin-gartisertib	12.430769230769243	0.2572603353515367
235	M4076-dinaciclib	12.422222222222231	0.2577917926351411
50	GSK525762A-gartisertib	12.362393162393175	0.2615346616895071
8	AZD4547-M4076	12.341880341880355	0.262827071201278
206	M3541-thiotepa	12.257834757834772	0.26817116904459165
332	berzosertib-ibrutinib	12.252991452991466	0.26848152727284075
169	M3541-crizotinib	12.24501424501426	0.2689932744648496
164	M3541-bleomycin	13.382615801919599	0.2690549089117193
408	gartisertib-mitomycin	12.240170940170955	0.2693043235813186
305	THZ1-gartisertib	12.222222222222229	0.27045931145720725
89	M1774-ML167	12.203703703703724	0.27165472449268674
69	LY2584702-M1774	12.201058201058203	0.2718258094953758
279	M4076-vincristine	12.17863247863248	0.2732792148133304
154	M3541-NSC348884	12.143874643874653	0.27554293247774014
51	GSK923295-M1774	12.129629629629633	0.2764745751334726
137	M1774-ralimetinib	12.077099236641219	0.27992968410127617
92	M1774-PF04217903	10.914967295113508	0.2815825829417647
24	BMXIN1-M1774	12.042328042328037	0.28223363301246257
269	M4076-sunitinib	12.009401709401729	0.2844277715899125
238	M4076-entospletinib	11.988034188034206	0.285858126488209
114	M1774-everolimus	11.944444444444443	0.28879184176775735
109	M1774-dinaciclib	11.915012722646306	0.2907846662007941
90	M1774-NSC348884	11.890534351145035	0.2924494565006971
116	M1774-formestane	11.88756613756614	0.2926517808344262
397	formestane-gartisertib	11.885470085470104	0.2927947146100054
450	peposertib-pomalidomide	11.885000000000005	0.2928267773556091
241	M4076-everolimus	11.879487179487185	0.29320296976240834
430	gartisertib-ulixertinib	11.841880341880355	0.29577828084410557
284	NSC348884-gartisertib	11.837606837606842	0.29607192709207986
415	gartisertib-pictilisib	11.806837606837618	0.2981921860804476
452	peposertib-ralimetinib	11.769230769230774	0.3007979313946182
310	berzosertib-bleomycin	11.700000000000003	0.30563601866679035
100	M1774-bortezomib	11.698279372836494	0.3057569406763286
26	BMXIN1-M4076	11.69145299145299	0.306237008310338
372	carfilzomib-peposertib	11.68945868945869	0.3063773559958108
445	olaparib-peposertib	11.683760683760696	0.30677859280247005
407	gartisertib-melphalan	11.670940170940185	0.3076826938859242
215	M4076-NSC348884	11.667521367521374	0.3079240957153018
406	gartisertib-lomustine	11.654700854700863	0.3088305080205716
115	M1774-fluorouracil	11.643104325699747	0.3096519554660203
267	M4076-seliciclib	11.620512820512829	0.31125652205767107
122	M1774-lapatinib	11.591569767441879	0.3133204742669923
387	entospletinib-gartisertib	11.571794871794879	0.31473597197428876
230	M4076-ceritinib	11.55982905982907	0.3155945925463785
246	M4076-gemcitabine	11.541880341880344	0.31688549203998906
13	BI2536-M3541	11.541310541310551	0.3169265312924909
209	M3541-ulixertinib	11.52849002849004	0.31785086281571484
289	PF04217903-berzosertib	11.482369051694642	0.3211910905265114
192	M3541-olaparib	11.440170940170944	0.32426774953537396
44	GSK429286A-berzosertib	11.423931623931637	0.32545697648428745
37	GSK2334470-M4076	11.398290598290615	0.3273406017880102
41	GSK429286A-M1774	11.38756613756614	0.3281305756660775
165	M3541-bortezomib	11.320512820512846	0.3330983464678811
55	GSK923295-gartisertib	11.306837606837618	0.33411753455442517
439	imatinib-peposertib	11.292022792022806	0.3352239571847121
23	BML284-peposertib	11.290598290598297	0.33533047006870725
434	gartisertib-vincristine	11.259829059829059	0.3376365418643471
329	berzosertib-geldanamycin	11.196581196581207	0.34240910217630816
420	gartisertib-rucaparib	11.184615384615398	0.3433168947067298
1	ABT737-M3541	11.165230769230789	0.3447908025949807
367	bortezomib-peposertib	11.158119658119688	0.3453325125053274
144	M1774-temozolomide	11.12566137566138	0.3478120395056396
265	M4076-rucaparib	11.111965811965831	0.348861661087585
191	M3541-nutlin	11.059829059829084	0.35287581008461016
382	dinaciclib-gartisertib	11.033333333333346	0.3549269314807439
341	berzosertib-oxaliplatin	10.983760683760693	0.3587845978920857
81	LY2857785-M1774	10.975615964162083	0.3594209037509013
74	LY2584702-peposertib	10.944444444444457	0.3618626648788666
7	AZD4547-M3541	10.935897435897445	0.3625339722166779
315	berzosertib-ceritinib	10.934769230769248	0.36262264237628655
247	M4076-gilteritinib	10.879487179487185	0.36698389182568336
59	IBET151-M4076	10.870940170940173	0.3676610364686794
261	M4076-pomalidomide	10.855384615384622	0.3688954014134339
61	IBET151-gartisertib	10.83247863247864	0.3707176381644908
183	M3541-gemcitabine	10.80423280423281	0.3729721980687384
418	gartisertib-purvalanol	10.803633217993086	0.3730201464249783
360	berzosertib-vatalanib	10.800000000000011	0.3733107712821412
362	berzosertib-vemurafenib	10.757264957264965	0.3767394491620548
219	M4076-RO3306	10.757264957264965	0.3767394491620548
429	gartisertib-tozasertib	10.75555555555556	0.37687698869199765
338	berzosertib-niraparib	10.735897435897442	0.37846085636822274
359	berzosertib-ulixertinib	10.73076923076924	0.37887469297853044
117	M1774-geldanamycin	10.710317460317455	0.38052779755222554
77	LY2603618-M4076	10.701709401709408	0.3812248634351451
153	M3541-ML167	10.695156695156712	0.3817559984810721
12	BI2536-M1774	10.685801526717558	0.3825150495471476
108	M1774-dacarbazine	10.668600508905849	0.3839130192406755
253	M4076-mitomycin	10.658974358974376	0.38469667488777703
258	M4076-paclitaxel	10.654700854700863	0.38504487862173614
437	gilteritinib-peposertib	10.649572649572661	0.3854629678576032
17	BI2536-peposertib	10.646723646723672	0.3856953549533762
98	M1774-azacytidine	10.607142857142847	0.3889323738754586
361	berzosertib-veliparib	10.586324786324795	0.3906412700961484
414	gartisertib-palbociclib	10.564658925979671	0.3924243793908984
136	M1774-purvalanol	10.564277475696166	0.3924558150203495
149	M1774-vatalanib	10.556410256410274	0.39310448338426557
174	M3541-entospletinib	10.544159544159555	0.39411581027197823
378	cytarabine-gartisertib	10.530769230769238	0.39522292496056166
