	tissue_1	tissue_2	p-val	com_treat
0	brain	brain	1.0	M4076-berzosertib
1	brain	breast	1.0	M4076-berzosertib
2	brain	colon	1.0	M4076-berzosertib
3	brain	hematological	1.0	M4076-berzosertib
4	brain	liver	1.0	M4076-berzosertib
5	brain	lung	1.0	M4076-berzosertib
6	brain	melanoma	1.0	M4076-berzosertib
7	brain	ovary	1.0	M4076-berzosertib
8	brain	pancreas	1.0	M4076-berzosertib
9	brain	prostate	1.0	M4076-berzosertib
10	brain	sarcoma	1.0	M4076-berzosertib
11	breast	brain	1.0	M4076-berzosertib
12	breast	breast	1.0	M4076-berzosertib
13	breast	colon	1.0	M4076-berzosertib
14	breast	hematological	0.4288982888502745	M4076-berzosertib
15	breast	liver	1.0	M4076-berzosertib
16	breast	lung	1.0	M4076-berzosertib
17	breast	melanoma	1.0	M4076-berzosertib
18	breast	ovary	0.8791664174396426	M4076-berzosertib
19	breast	pancreas	1.0	M4076-berzosertib
20	breast	prostate	1.0	M4076-berzosertib
21	breast	sarcoma	1.0	M4076-berzosertib
22	colon	brain	1.0	M4076-berzosertib
23	colon	breast	1.0	M4076-berzosertib
24	colon	colon	1.0	M4076-berzosertib
25	colon	hematological	0.2006970933095001	M4076-berzosertib
26	colon	liver	1.0	M4076-berzosertib
27	colon	lung	1.0	M4076-berzosertib
28	colon	melanoma	1.0	M4076-berzosertib
29	colon	ovary	0.861150050436852	M4076-berzosertib
30	colon	pancreas	1.0	M4076-berzosertib
31	colon	prostate	1.0	M4076-berzosertib
32	colon	sarcoma	1.0	M4076-berzosertib
33	hematological	brain	1.0	M4076-berzosertib
34	hematological	breast	0.4288982888502745	M4076-berzosertib
35	hematological	colon	0.2006970933095001	M4076-berzosertib
36	hematological	hematological	1.0	M4076-berzosertib
37	hematological	liver	1.0	M4076-berzosertib
38	hematological	lung	0.382549630037155	M4076-berzosertib
39	hematological	melanoma	0.02427686619307574	M4076-berzosertib
40	hematological	ovary	1.0	M4076-berzosertib
41	hematological	pancreas	0.0008832965739817774	M4076-berzosertib
42	hematological	prostate	0.009677847111393767	M4076-berzosertib
43	hematological	sarcoma	0.06871766810642001	M4076-berzosertib
44	liver	brain	1.0	M4076-berzosertib
45	liver	breast	1.0	M4076-berzosertib
46	liver	colon	1.0	M4076-berzosertib
47	liver	hematological	1.0	M4076-berzosertib
48	liver	liver	1.0	M4076-berzosertib
49	liver	lung	1.0	M4076-berzosertib
50	liver	melanoma	0.6239366533762192	M4076-berzosertib
51	liver	ovary	1.0	M4076-berzosertib
52	liver	pancreas	0.861150050436852	M4076-berzosertib
53	liver	prostate	0.3596382474754373	M4076-berzosertib
54	liver	sarcoma	1.0	M4076-berzosertib
55	lung	brain	1.0	M4076-berzosertib
56	lung	breast	1.0	M4076-berzosertib
57	lung	colon	1.0	M4076-berzosertib
58	lung	hematological	0.382549630037155	M4076-berzosertib
59	lung	liver	1.0	M4076-berzosertib
60	lung	lung	1.0	M4076-berzosertib
61	lung	melanoma	1.0	M4076-berzosertib
62	lung	ovary	0.8160388214757147	M4076-berzosertib
63	lung	pancreas	1.0	M4076-berzosertib
64	lung	prostate	1.0	M4076-berzosertib
65	lung	sarcoma	1.0	M4076-berzosertib
66	melanoma	brain	1.0	M4076-berzosertib
67	melanoma	breast	1.0	M4076-berzosertib
68	melanoma	colon	1.0	M4076-berzosertib
69	melanoma	hematological	0.02427686619307574	M4076-berzosertib
70	melanoma	liver	0.6239366533762192	M4076-berzosertib
71	melanoma	lung	1.0	M4076-berzosertib
72	melanoma	melanoma	1.0	M4076-berzosertib
73	melanoma	ovary	0.06685228910289502	M4076-berzosertib
74	melanoma	pancreas	1.0	M4076-berzosertib
75	melanoma	prostate	1.0	M4076-berzosertib
76	melanoma	sarcoma	1.0	M4076-berzosertib
77	ovary	brain	1.0	M4076-berzosertib
78	ovary	breast	0.8791664174396426	M4076-berzosertib
79	ovary	colon	0.861150050436852	M4076-berzosertib
80	ovary	hematological	1.0	M4076-berzosertib
81	ovary	liver	1.0	M4076-berzosertib
82	ovary	lung	0.8160388214757147	M4076-berzosertib
83	ovary	melanoma	0.06685228910289502	M4076-berzosertib
84	ovary	ovary	1.0	M4076-berzosertib
85	ovary	pancreas	0.05197101988519136	M4076-berzosertib
86	ovary	prostate	0.03409288442409234	M4076-berzosertib
87	ovary	sarcoma	0.5649846668321531	M4076-berzosertib
88	pancreas	brain	1.0	M4076-berzosertib
89	pancreas	breast	1.0	M4076-berzosertib
90	pancreas	colon	1.0	M4076-berzosertib
91	pancreas	hematological	0.0008832965739817774	M4076-berzosertib
92	pancreas	liver	0.861150050436852	M4076-berzosertib
93	pancreas	lung	1.0	M4076-berzosertib
94	pancreas	melanoma	1.0	M4076-berzosertib
95	pancreas	ovary	0.05197101988519136	M4076-berzosertib
96	pancreas	pancreas	1.0	M4076-berzosertib
97	pancreas	prostate	1.0	M4076-berzosertib
98	pancreas	sarcoma	1.0	M4076-berzosertib
99	prostate	brain	1.0	M4076-berzosertib
100	prostate	breast	1.0	M4076-berzosertib
101	prostate	colon	1.0	M4076-berzosertib
102	prostate	hematological	0.009677847111393767	M4076-berzosertib
103	prostate	liver	0.3596382474754373	M4076-berzosertib
104	prostate	lung	1.0	M4076-berzosertib
105	prostate	melanoma	1.0	M4076-berzosertib
106	prostate	ovary	0.03409288442409234	M4076-berzosertib
107	prostate	pancreas	1.0	M4076-berzosertib
108	prostate	prostate	1.0	M4076-berzosertib
109	prostate	sarcoma	1.0	M4076-berzosertib
110	sarcoma	brain	1.0	M4076-berzosertib
111	sarcoma	breast	1.0	M4076-berzosertib
112	sarcoma	colon	1.0	M4076-berzosertib
113	sarcoma	hematological	0.06871766810642001	M4076-berzosertib
114	sarcoma	liver	1.0	M4076-berzosertib
115	sarcoma	lung	1.0	M4076-berzosertib
116	sarcoma	melanoma	1.0	M4076-berzosertib
117	sarcoma	ovary	0.5649846668321531	M4076-berzosertib
118	sarcoma	pancreas	1.0	M4076-berzosertib
119	sarcoma	prostate	1.0	M4076-berzosertib
120	sarcoma	sarcoma	1.0	M4076-berzosertib
0	bladder	bladder	1.0	gamma-peposertib
1	bladder	brain	1.0	gamma-peposertib
2	bladder	breast	1.0	gamma-peposertib
3	bladder	colon	1.0	gamma-peposertib
4	bladder	hematological	0.0005587827154791535	gamma-peposertib
5	bladder	liver	1.0	gamma-peposertib
6	bladder	lung	1.0	gamma-peposertib
7	bladder	melanoma	1.0	gamma-peposertib
8	bladder	ovary	0.08449647008240357	gamma-peposertib
9	bladder	pancreas	1.0	gamma-peposertib
10	bladder	prostate	1.0	gamma-peposertib
11	bladder	sarcoma	1.0	gamma-peposertib
12	brain	bladder	1.0	gamma-peposertib
13	brain	brain	1.0	gamma-peposertib
14	brain	breast	1.0	gamma-peposertib
15	brain	colon	1.0	gamma-peposertib
16	brain	hematological	0.15841825141300228	gamma-peposertib
17	brain	liver	1.0	gamma-peposertib
18	brain	lung	1.0	gamma-peposertib
19	brain	melanoma	1.0	gamma-peposertib
20	brain	ovary	1.0	gamma-peposertib
21	brain	pancreas	1.0	gamma-peposertib
22	brain	prostate	1.0	gamma-peposertib
23	brain	sarcoma	1.0	gamma-peposertib
24	breast	bladder	1.0	gamma-peposertib
25	breast	brain	1.0	gamma-peposertib
26	breast	breast	1.0	gamma-peposertib
27	breast	colon	1.0	gamma-peposertib
28	breast	hematological	0.5934121646833034	gamma-peposertib
29	breast	liver	1.0	gamma-peposertib
30	breast	lung	1.0	gamma-peposertib
31	breast	melanoma	1.0	gamma-peposertib
32	breast	ovary	1.0	gamma-peposertib
33	breast	pancreas	1.0	gamma-peposertib
34	breast	prostate	1.0	gamma-peposertib
35	breast	sarcoma	1.0	gamma-peposertib
36	colon	bladder	1.0	gamma-peposertib
37	colon	brain	1.0	gamma-peposertib
38	colon	breast	1.0	gamma-peposertib
39	colon	colon	1.0	gamma-peposertib
40	colon	hematological	0.006486718425979044	gamma-peposertib
41	colon	liver	1.0	gamma-peposertib
42	colon	lung	1.0	gamma-peposertib
43	colon	melanoma	1.0	gamma-peposertib
44	colon	ovary	1.0	gamma-peposertib
45	colon	pancreas	1.0	gamma-peposertib
46	colon	prostate	1.0	gamma-peposertib
47	colon	sarcoma	1.0	gamma-peposertib
48	hematological	bladder	0.0005587827154791535	gamma-peposertib
49	hematological	brain	0.15841825141300228	gamma-peposertib
50	hematological	breast	0.5934121646833034	gamma-peposertib
51	hematological	colon	0.006486718425979044	gamma-peposertib
52	hematological	hematological	1.0	gamma-peposertib
53	hematological	liver	0.04228764387209196	gamma-peposertib
54	hematological	lung	1.0	gamma-peposertib
55	hematological	melanoma	1.0	gamma-peposertib
56	hematological	ovary	1.0	gamma-peposertib
57	hematological	pancreas	0.17932002448668555	gamma-peposertib
58	hematological	prostate	1.0	gamma-peposertib
59	hematological	sarcoma	0.0052388700228479124	gamma-peposertib
60	liver	bladder	1.0	gamma-peposertib
61	liver	brain	1.0	gamma-peposertib
62	liver	breast	1.0	gamma-peposertib
63	liver	colon	1.0	gamma-peposertib
64	liver	hematological	0.04228764387209196	gamma-peposertib
65	liver	liver	1.0	gamma-peposertib
66	liver	lung	1.0	gamma-peposertib
67	liver	melanoma	1.0	gamma-peposertib
68	liver	ovary	0.6264854953754254	gamma-peposertib
69	liver	pancreas	1.0	gamma-peposertib
70	liver	prostate	1.0	gamma-peposertib
71	liver	sarcoma	1.0	gamma-peposertib
72	lung	bladder	1.0	gamma-peposertib
73	lung	brain	1.0	gamma-peposertib
74	lung	breast	1.0	gamma-peposertib
75	lung	colon	1.0	gamma-peposertib
76	lung	hematological	1.0	gamma-peposertib
77	lung	liver	1.0	gamma-peposertib
78	lung	lung	1.0	gamma-peposertib
79	lung	melanoma	1.0	gamma-peposertib
80	lung	ovary	1.0	gamma-peposertib
81	lung	pancreas	1.0	gamma-peposertib
82	lung	prostate	1.0	gamma-peposertib
83	lung	sarcoma	1.0	gamma-peposertib
84	melanoma	bladder	1.0	gamma-peposertib
85	melanoma	brain	1.0	gamma-peposertib
86	melanoma	breast	1.0	gamma-peposertib
87	melanoma	colon	1.0	gamma-peposertib
88	melanoma	hematological	1.0	gamma-peposertib
89	melanoma	liver	1.0	gamma-peposertib
90	melanoma	lung	1.0	gamma-peposertib
91	melanoma	melanoma	1.0	gamma-peposertib
92	melanoma	ovary	1.0	gamma-peposertib
93	melanoma	pancreas	1.0	gamma-peposertib
94	melanoma	prostate	1.0	gamma-peposertib
95	melanoma	sarcoma	1.0	gamma-peposertib
96	ovary	bladder	0.08449647008240357	gamma-peposertib
97	ovary	brain	1.0	gamma-peposertib
98	ovary	breast	1.0	gamma-peposertib
99	ovary	colon	1.0	gamma-peposertib
100	ovary	hematological	1.0	gamma-peposertib
101	ovary	liver	0.6264854953754254	gamma-peposertib
102	ovary	lung	1.0	gamma-peposertib
103	ovary	melanoma	1.0	gamma-peposertib
104	ovary	ovary	1.0	gamma-peposertib
105	ovary	pancreas	1.0	gamma-peposertib
106	ovary	prostate	1.0	gamma-peposertib
107	ovary	sarcoma	1.0	gamma-peposertib
108	pancreas	bladder	1.0	gamma-peposertib
109	pancreas	brain	1.0	gamma-peposertib
110	pancreas	breast	1.0	gamma-peposertib
111	pancreas	colon	1.0	gamma-peposertib
112	pancreas	hematological	0.17932002448668555	gamma-peposertib
113	pancreas	liver	1.0	gamma-peposertib
114	pancreas	lung	1.0	gamma-peposertib
115	pancreas	melanoma	1.0	gamma-peposertib
116	pancreas	ovary	1.0	gamma-peposertib
117	pancreas	pancreas	1.0	gamma-peposertib
118	pancreas	prostate	1.0	gamma-peposertib
119	pancreas	sarcoma	1.0	gamma-peposertib
120	prostate	bladder	1.0	gamma-peposertib
121	prostate	brain	1.0	gamma-peposertib
122	prostate	breast	1.0	gamma-peposertib
123	prostate	colon	1.0	gamma-peposertib
124	prostate	hematological	1.0	gamma-peposertib
125	prostate	liver	1.0	gamma-peposertib
126	prostate	lung	1.0	gamma-peposertib
127	prostate	melanoma	1.0	gamma-peposertib
128	prostate	ovary	1.0	gamma-peposertib
129	prostate	pancreas	1.0	gamma-peposertib
130	prostate	prostate	1.0	gamma-peposertib
131	prostate	sarcoma	1.0	gamma-peposertib
132	sarcoma	bladder	1.0	gamma-peposertib
