	tissue_1	tissue_2	p-val	drug
0	bladder	bladder	1.0	M3541
1	bladder	brain	1.0	M3541
2	bladder	breast	1.0	M3541
3	bladder	colon	1.0	M3541
4	bladder	hematological	1.0	M3541
5	bladder	liver	1.0	M3541
6	bladder	lung	1.0	M3541
7	bladder	melanoma	0.26389369113126143	M3541
8	bladder	ovary	1.0	M3541
9	bladder	pancreas	0.09058164921388498	M3541
10	bladder	prostate	1.0	M3541
11	bladder	sarcoma	1.0	M3541
12	brain	bladder	1.0	M3541
13	brain	brain	1.0	M3541
14	brain	breast	1.0	M3541
15	brain	colon	1.0	M3541
16	brain	hematological	1.0	M3541
17	brain	liver	0.9225599001736757	M3541
18	brain	lung	1.0	M3541
19	brain	melanoma	1.0	M3541
20	brain	ovary	1.0	M3541
21	brain	pancreas	1.0	M3541
22	brain	prostate	1.0	M3541
23	brain	sarcoma	1.0	M3541
24	breast	bladder	1.0	M3541
25	breast	brain	1.0	M3541
26	breast	breast	1.0	M3541
27	breast	colon	1.0	M3541
28	breast	hematological	1.0	M3541
29	breast	liver	1.0	M3541
30	breast	lung	1.0	M3541
31	breast	melanoma	0.020225063028816676	M3541
32	breast	ovary	1.0	M3541
33	breast	pancreas	0.00231539028803648	M3541
34	breast	prostate	1.0	M3541
35	breast	sarcoma	1.0	M3541
36	colon	bladder	1.0	M3541
37	colon	brain	1.0	M3541
38	colon	breast	1.0	M3541
39	colon	colon	1.0	M3541
40	colon	hematological	1.0	M3541
41	colon	liver	1.0	M3541
42	colon	lung	1.0	M3541
43	colon	melanoma	0.8504211922374413	M3541
44	colon	ovary	1.0	M3541
45	colon	pancreas	0.2536798259951643	M3541
46	colon	prostate	1.0	M3541
47	colon	sarcoma	1.0	M3541
48	hematological	bladder	1.0	M3541
49	hematological	brain	1.0	M3541
50	hematological	breast	1.0	M3541
51	hematological	colon	1.0	M3541
52	hematological	hematological	1.0	M3541
53	hematological	liver	1.0	M3541
54	hematological	lung	1.0	M3541
55	hematological	melanoma	0.0378785597756474	M3541
56	hematological	ovary	1.0	M3541
57	hematological	pancreas	0.0038046983068140954	M3541
58	hematological	prostate	1.0	M3541
59	hematological	sarcoma	1.0	M3541
60	liver	bladder	1.0	M3541
61	liver	brain	0.9225599001736757	M3541
62	liver	breast	1.0	M3541
63	liver	colon	1.0	M3541
64	liver	hematological	1.0	M3541
65	liver	liver	1.0	M3541
66	liver	lung	0.3584118382842404	M3541
67	liver	melanoma	0.008667296857185845	M3541
68	liver	ovary	1.0	M3541
